company,industry1,industry2,city,state,description,pin,revenue,founded date,website,number of founder,founder1,founder2,employee,funding round,funding status,last funding date,last funding amt,last funding type,total funding amt,investor1,investor2,investor3,investor4,investor5,no of investor
Cuemath,E-Learning,EdTech,Bengaluru,Karnataka,Cuemath is an international online learning platform that offers math and coding programs for K-to-10 students.,560034,$1M to $10M,2013,www.cuemath.com/,1,Manan Khurma,,1001-5000,7,—,"Jun 1, 2022","₹ 4,38,00,00,000.00",Venture - Series Unknown,"$ 12,11,12,611.00",Manta Ray Ventures,Alpha Wave Global,Lightrock,Alphabet,CapitalG,10
Grinntech,Electric Vehicle,Energy Storage,Chennai,Tamil Nadu,Lithium Battery Packs for stationary and automotive application,600113,$1M to $10M,"Feb 20, 2013",grinntech.com,2,Nikhilesh Mishra,Puneet Jain,Nov-50,1,Seed,"Aug 28, 2020","$ 20,00,000.00",Angel,"$ 20,00,000.00",Lakshmi Narayanan,23 High Networth Individuals (HNIs),UCAL Fuel Systems,KS Manian,V Sumantran,5
DailyRounds,Health Care,Medical,Bangalore,Karnataka,Flipboard + Clinical Cases Challenges for Doctors.,—,$1M to $10M,2013,www.dailyrounds.org/,3,Deepu Sebin,Nimmi Cherian,101-250,5,M&A,"Sep 21, 2016",—,Seed,"$ 5,00,000.00",Accel,GSF,Kae Capital,Powerhouse Ventures,Microsoft Accelerator,9
Cashify,Consumer,E-Commerce,Gurgaon,Haryana,Cashify is an online marketplace for reselling used electronic gadgets.,122003,$50M to $100M,2013,www.cashify.in/,4,Amit Sethi,Mandeep Manocha,501-1000,8,—,"Nov 3, 2023","$ 9,80,00,000.00",Venture - Series Unknown,"$ 22,28,29,015.00",Amazon,Blume Ventures,Aihuishou,Shunwei Capital,Bessemer Venture Partners,15
Sasta Sundar,Alternative Medicine,Baby,Kolkata,West Bengal,Buy Genuine prescription medicine online & save big with free home delivery. India's fastest growing & most trusted Online Pharmacy.,700156,$10M to $50M,"Sep 2, 2013",www.sastasundar.com/,2,B L Mittal,Ravi Kant Sharma,501-1000,1,M&A,"May 30, 2017","$ 50,00,000.00",Venture - Series Unknown,"$ 50,00,000.00",Rohto Pharmaceutical,,,,,1
RevX,Advertising,App Marketing,Bangalore,Karnataka,"RevX is a technology company that offers performance advertising products to help marketers acquire, engage, and convert mobile users.",560095,$1M to $10M,2013,www.revx.io,2,Mukesh Agarwal,Ruksh Chatterji,Nov-50,1,M&A,"Aug 25, 2015","$ 40,00,000.00",Venture - Series Unknown,"$ 40,00,000.00",Nexus Venture Partners,Norwest Venture Partners,Peepul Capital LLC,Helion Venture Partners,,4
POKKT,Advertising,Marketing,Mumbai,Maharashtra,POKKT is an Alternate Mobile Payment Platform that helps owners of Paid Digital Goods and Services to monetise thier users through an,400 054,$1M to $10M,"Aug 1, 2012",www.pokkt.com,5,Manish Tewari,Rohit Sharma,51-100,3,M&A,"Nov 3, 2015","$ 50,00,000.00",Series B,"$ 75,00,000.00",Jungle Ventures,JAFCO Asia,Singtel Innov8,Ganesh Krishnan,SEGNEL Ventures,8
Any Time Loan,Credit,Finance,Hyderabad,Andhra Pradesh,Any Time Loan is peer to peer lending platform.,—,Less than $1M,2014,anytimeloan.in,1,Keerthi Kumar Jain,,Nov-50,4,Early Stage Venture,"Jan 2, 2018","$ 39,20,000.00",Series A,"$ 62,61,461.00",Digispice Technologies,Anup Rau Velamuri[,Kartikeya Vivek Velamuri,,,3
Voiro,Advertising,Cyber Security,Bengaluru,Karnataka,Voiro is the first all-in-one revenue management suite exclusively for ad-led digital publishers across media.,560001,$1M to $10M,2014,www.voiro.com/,2,Anand Gopal,Kavita Shenoy,01-Oct,2,Seed,"Mar 24, 2021","$ 18,00,000.00",Seed,"$ 21,61,428.00",1Crowd,Mela Ventures,,,,2
Hug Innovations,Innovation Management,Service Industry,Hyderabad,Andhra Pradesh,"At Hug Innovations, they constantly endeavour to bridge the gap between people and technology through their wearable products.",500032,$10M to $50M,2014,www.huginnovations.com,1,Raj Neravati,,Nov-50,1,M&A,"Jun 26, 2017","$ 50,00,000.00",Series A,"$ 50,00,000.00",Kishore Ganji,Brand Capital International,Venkat Vallabhaneni,Mohit Srivastava,Sajeev Menon,5
Overcart,E-Commerce,Internet,New Delhi,Delhi,Overcart is India's first marketplace for over-stock,—,—,2012,www.overcart.com/,2,Alex Souter,Saptarshi Nath,101-250,3,M&A,"Jan 1, 2019",—,Venture - Series Unknown,"$ 30,00,000.00",Omidyar Network,JSW Ventures,Rajesh Sawhney,Ganesh Krishnan,Startup Equity Partners,7
Livpure,Consumer Electronics,Manufacturing,Haryana,Haryana,"Livpure, one of the most trusted water purifier industry.",122016,Less than $1M,"Nov 18, 2012",www.livpure.com,3,Navneet Kapoor,Rakesh Malhotra,501-1000,1,—,"Dec 19, 2014","$ 1,60,00,000.00",Venture - Series Unknown,"$ 1,60,00,000.00",Multiples,CLSA Capital Partners,,,,2
SnapBizz CloudTech,B2B,Cloud Computing,Bangalore,Karnataka,"SnapBizz CloudTech is cloud platform developed Mobile-First, connecting stakeholders of retail ecosystem with an Innovative business model.",560037,$1M to $10M,2012,snapbizz.com,2,Prem Kumar,Yashwanth Prakash,Nov-50,2,—,"Jan 21, 2016","$ 72,00,000.00",Venture - Series Unknown,"$ 89,00,000.00",Blume Ventures,Jungle Ventures,Taurus Value Creation,Konly Venture,,4
The Label Life,E-Commerce,Fashion,Mumbai,Maharashtra,TheLabelLife.com is an Indian e-commerce lifestyle brand,—,$1M to $10M,2012,www.thelabellife.com/,1,Preeta Sukhtankar,,101-250,1,M&A,"Dec 7, 2017","₹ 20,00,00,000.00",Venture - Series Unknown,"₹ 20,00,00,000.00",Centrum Capital,Kalpavriksh,,,,2
OneDirect,Customer Service,SaaS,Bengaluru,Karnataka,OneDirect is India's #1 CEM platform used by leading enterprises to improve customer experience across multiple touch points,560076,$1M to $10M,2013,getonedirect.com/,4,Ankur Singla,Avinash Vankadaru,101-250,3,M&A,"Sep 4, 2018","$ 7,00,000.00",Seed,"$ 69,00,000.00",Sequoia Capital,Peak XV Partners,,,,2
HelloVerify,Fraud Detection,Information Services,Noida,Uttar Pradesh,HelloVerify is an online background check platform.,201301,—,2012,www.helloverify.com/,2,Karan Mirchandani,Varun Mirchandani,251-500,3,Early Stage Venture,"Mar 12, 2019",—,Series A,"$ 1,20,000.00",Y Combinator,DCVC,VentureSouq,Lead Angels Network,,4
EdGE,Analytics,Artificial Intelligence (AI),Bangalore,Karnataka,EdGE provides nextGen technology solutions for workforce transformation powered by data science and artificial intelligence.,560042,$10M to $50M,2012,getedge.ai,1,Arjun Pratap,,51-100,2,Early Stage Venture,"Oct 30, 2017","$ 45,00,000.00",Series A,"$ 45,50,000.00",VenturEast,Kalaari Capital,Google Launchpad Accelerator,,,3
WebEngage,Analytics,Enterprise Software,Mumbai,Maharashtra,WebEngage is a marketing automation software that helps B2C companies drive more revenues from their existing customers and anonymous users.,400063,$10M to $50M,"Oct 13, 2011",webengage.com,2,Ankit Utreja,Avlesh Singh,251-500,7,Early Stage Venture,"Aug 2, 2022","$ 2,00,00,000.00",Series B,"$ 2,71,00,000.00",BlackSoil,Blume Ventures,Indian Angel Network,SWC Global,India Quotient,9
Rivigo,Automotive,Freight Service,Gurgaon,Haryana,Rivigo is a technology-enabled logistics platform provider that offers transport services.,122003,$1M to $10M,2014,rivigo.com,2,Deepak Garg,Gazal Kalra,1001-5000,11,Late Stage Venture,"Aug 23, 2022","₹ 16,00,00,000.00",Series H,"$ 26,72,31,016.00",Elevation Capital,Warburg Pincus,Trifecta Capital Advisors,InnoVen Capital,SAIF Partners,8
Jiffy.ai,Artificial Intelligence (AI),Machine Learning,Bengaluru,Karnataka,Jiffy.ai is a software company that offers AI-powered intelligent and integrated platform for the modern-day digital enterprise.,—,$10M to $50M,"Jan 1, 2012",jiffy.ai,2,Babu Sivadasan,Krishnan Subramanian,51-100,3,Early Stage Venture,"Mar 9, 2022","$ 5,30,00,000.00",Series B,"$ 7,10,00,000.00",Eight Roads Ventures,Nexus Venture Partners,Iron Pillar,Rebright Partners,R-Squared Ventures,13
Elan Group,Construction,,Gurgaon,Haryana,Elan Group is a commercial project developer company.,—,—,2013,www.elanlimited.com/,—,,,101-250,2,Private Equity,"Dec 9, 2022","₹ 4,75,00,00,000.00",Private Equity,"₹ 9,00,00,00,000.00",PAG,,,,,1
Kreedo Early Childhood Solutions,Education,,Bengaluru,Karnataka,Kreedo provides a complete preschool solution.,—,$1M to $10M,"Jan 1, 2012",www.kreedology.com/,2,Mridula Shridhar,VK Manikandan,Nov-50,1,Seed,"Jul 4, 2022","$ 23,00,000.00",Seed,"$ 23,00,000.00",UBS,1Crowd,The Chennai Angels,Innospark Ventures,Gray Matters Capital,7
Omuni (Arvind Internet),E-Commerce,Professional Services,Bangalore,Karnataka,"Omuni provides innovative and easy-to-integrate omnichannel solutions for stores, websites, social platforms, and marketplaces.",560001,$1M to $10M,2013,www.omuni.com,1,Mukul Bafana,,101-250,1,M&A,"May 23, 2017","$ 1,00,00,000.00",Venture - Series Unknown,"$ 1,00,00,000.00",,,,,,—
Taskbucks,Apps,Content,Gurgaon,Haryana,Taskbucks is the leading Free Talktime app.,122002,$1M to $10M,2014,www.taskbucks.com/,2,Atul Yadav,Kumar Apurva,51-100,1,—,"Nov 16, 2015","$ 1,50,00,000.00",Venture - Series Unknown,"$ 1,50,00,000.00",Times Internet,,,,,1
StyleCracker,E-Commerce,Fashion,Mumbai,Maharashtra,StyleCracker is an online fashion startup,—,$1M to $10M,2013,www.stylecracker.com/,2,Archana Walavalkar,Dhimaan Shah,101-250,3,Seed,"Nov 14, 2019","$ 20,00,000.00",Seed,"$ 30,00,000.00",Alia Bhatt,AMJ Ventures,Malav Shah,,,3
ImaginXP,Information Technology,Training,Pune,Maharashtra,ImaginXP is a curriculum company with a focus on training and certification in UX Design and Design Thinking.,411045,$10M to $50M,2013,www.imaginxp.com,5,Abhayjeet Singh,Chinmoy Rajwanshi,Nov-50,2,Early Stage Venture,"Oct 20, 2021",—,Series A,"$ 15,00,000.00",Venture Catalysts,Earlsfield Capital,Samyakth Capital,Krish Kupathil,,4
Cytecare Hospitals,Health Care,Hospital,Bengaluru,Karnataka,"Cytecare Hospitals specializes in the fields of gynecological, Haemato-Oncology, radiotherapy, GI, and hepatobiliary.",560064,$10M to $50M,2014,www.cytecare.com/,4,Anthony Pais,Ferzaan Engineer,251-500,1,Early Stage Venture,"May 31, 2018","$ 3,10,00,000.00",Series A,"$ 3,10,00,000.00",Goldman Sachs,,,,,1
Svasth Life (healthi),Fitness,Health Care,Bangalore,Karnataka,"A set of tools to help you make smart choices about your health, so that you can focus on living your life to the fullest.",—,$10M to $50M,2014,www.healthi.in/,1,Krishna Ulagaratchagan,,101-250,1,—,"Feb 6, 2018","$ 31,00,000.00",Venture - Series Unknown,"$ 31,00,000.00",Montane Ventures,,,,,1
Radio One,Broadcasting,Digital Entertainment,Mumbai,Maharashtra,Radio One is an international format radio network.,—,—,"Jan 29, 2012",www.radioone.in/,—,,,101-250,1,—,"Jun 1, 2015","₹ 25,00,00,000.00",Venture - Series Unknown,"₹ 25,00,00,000.00",RaRe Enterprises,,,,,1
Gho Agro,Food and Beverage,,Chennai,Tamil Nadu,Gho Agro is a dairy company selling branded milk and milk products.,—,—,2012,ghoagro.careersitemanager.com/,—,,,01-Oct,1,Private Equity,"Jan 16, 2018","₹ 50,00,00,000.00",Private Equity,"₹ 50,00,00,000.00",ASK Pravi,,,,,1
New Leaf Dynamic Technologies,Product Management,Supply Chain Management,New Delhi,Delhi,New Leaf Dynamic Technologies is a cold chain solutions provider enterprise.,110044,Less than $1M,2012,newleafdynamic.com/,—,,,Nov-50,1,Seed,"Sep 15, 2022","₹ 6,15,00,000.00",Seed,"₹ 6,15,00,000.00",Good Ventures,,,,,1
Chillr,Android,Apps,Mumbai,Maharashtra,Chillr is a mobile and web application that allows users to send money directly between bank accounts using just the mobile number.,400050,$1M to $10M,"Dec 22, 2013",www.chillr.com,4,Anoop Sankar,Lishoy Bhaskaran,51-100,3,M&A,"Jan 1, 2019",—,Venture - Series Unknown,"$ 75,00,000.00",Blume Ventures,Peak XV Partners,InnoVen Capital,Uniqorn Ventures,,4
Zentron Labs,Artificial Intelligence (AI),Automotive,Bengaluru,Karnataka,ZentronLabs provides custom machine-vision solutions for automated visual inspection.,560075,$1M to $10M,2012,zentronlabs.com/,2,Krishnan Ramabadran,Ramgopal Vallath,Nov-50,7,Seed,"Oct 9, 2019","$ 3,94,129.00",Seed,"$ 27,42,129.00",Zoho,Ginserv,,,,2
Innovcare Lifesciences,Biotechnology,Health Care,Mumbai,Maharashtra,Innovcare Lifesciences is a healthcare service provider.,400074,$10M to $50M,2014,www.innovcare.in/,4,Chandan Rajmane,Dipin Varma,51-100,1,Private Equity,"Aug 29, 2019","₹ 45,00,00,000.00",Private Equity,"₹ 45,00,00,000.00",JM Financial,,,,,1
MySmartPrice,E-Commerce,Internet,Hyderabad,Andhra Pradesh,MySmartPrice is an online research platform that lets users discover products across a wide array of categories that include mobiles.,500081,$1M to $10M,"Aug 10, 2011",www.mysmartprice.com,2,Sitakanta Ray,Sulakshan Kumar,101-250,2,Early Stage Venture,"Jul 13, 2015","$ 1,00,00,000.00",Series B,"$ 1,10,00,000.00",Accel,Helion Venture Partners,,,,2
iGenetic Diagnostics,Health Care,Health Diagnostics,Mumbai,Maharashtra,iGenetic is a comprehensive diagnostics laboratory covering the spectrum of pathology from routine tests like Biochemistry and Immunology.,400072,$1M to $10M,2013,igenetic.com/,4,Arunima Patel,Homer Paneri,01-Oct,2,—,"Feb 28, 2017","₹ 1,30,00,00,000.00",Venture - Series Unknown,"$ 2,04,85,756.00",CDC Group,Riddhesh Gandhi,,,,2
Satvacart,Consumer Goods,E-Commerce,Gurgaon,Haryana,Satvacart is an online grocery store that delivers all household needs at the customers doorstep.,122001,$1M to $10M,2014,www.satvacart.com/,2,Deepika Saxena,Rahul Hari,Nov-50,7,Seed,"Dec 3, 2021",—,Seed,"$ 23,23,793.00",Palaash Ventures,Keshu Dubey,Nimit Panigrahi,Siddhartha Garg,Kuldeep Puri,9
Confirmtkt,Information Services,Internet,Bengaluru,Karnataka,Confirmtkt is a travel ticket search engine that provides a seamless ticket discovery and booking experience.,560102,$1M to $10M,2014,confirmtkt.com/,2,Dinesh Kumar,Sripad Vaidya,Nov-50,3,M&A,"Sep 20, 2016","$ 1,47,059.00",Seed,"$ 3,97,059.00",Venture Catalysts,Artha Group,Apoorva Ranjan Sharma,Anirudh A Damani,Anand Ladsariya,9
Zostel,Hospitality,Service Industry,Jaipur,Rajasthan,The first branded Backpacker Hostel chain in India.,—,Less than $1M,"Aug 1, 2013",zostel.com/,5,Akhil Malik,Dharamveer Chauhan,251-500,2,—,"Jul 25, 2018",—,Venture - Series Unknown,"$ 10,00,000.00",Orios Venture Partners,Presha Paragash,,,,2
Credihealth,Consulting,Fitness,Gurgaon,Haryana,Credihealth is a medical assistance company that offers online solutions for healthcare needs.,122016,$10M to $50M,"Oct 10, 2013",www.credihealth.com,3,Gaurav Gaggar,Ravi Virmani,51-100,1,Seed,"Apr 17, 2017","$ 15,00,000.00",Seed,"$ 15,00,000.00",Tolaram Group,Bala Swaminathan,Mountain Pine Capital,,,3
Frontier Markets,Apps,E-Commerce,Jaipur,Rajasthan,"Frontier Markets drives life-improving products and services to rural customers, while creating digital livelihoods for rural women.",302001,Less than $1M,"Aug 25, 2011",www.frontiermkts.com/,1,Ajaita Shah,,51-100,5,Early Stage Venture,"Oct 14, 2022",—,Series B,"$ 22,50,000.00",Beyond Capital,The Rise Fund,Acumen,Rianta Capital,Beyond Capital Ventures,11
Capital Float,B2B,Financial Services,Small and Medium Businesses,,Capital Float is an online platform that provides working capital finance to SMEs.,560080,—,2013,capitalfloat.com,2,India,Asia-Pacific (APAC),51-100,12,—,"Sep 28, 2021","₹ 3,70,30,00,000.00",Venture - Series Unknown,"$ 20,03,47,312.00",Gaurav Hinduja,Sashank Rishyasringa,Amazon,Sequoia Capital,Elevation Capital,17
NeoStencil,E-Learning,EdTech,Gurgaon,Haryana,NeoStencil is a live-learning Edtech platform in the $20bn Indian test preparation segment.,122016,Less than $1M,2014,neostencil.com,2,Kush Beejal,Love Beejal,Nov-50,3,M&A,"Jan 23, 2017",—,Seed,"$ 10,60,000.00",91springboard,Brand Capital,Praveen Sinha,Paragon Trust,Piyush Dhanuka,6
SaffronStays,Travel,,Mumbai,Maharashtra,SaffronStays is a platform offering rental high-quality villas and estates.,400016,$1M to $10M,2014,www.saffronstays.com/,2,Devendra Parulekar,Tejas Parulekar,01-Oct,1,Seed,"Jul 18, 2018","$ 20,00,000.00",Seed,"$ 20,00,000.00",Sixth Sense Ventures,,,,,1
Skillveri,Skill Assessment,Training,Chennai,Tamil Nadu,A tech-pioneer transforming hands-on skill training through Simulations & Psychophysics.,600083,$1M to $10M,2012,skillveri.com/,2,Kannan Lakshminarayan,Sabarinath C Nair,Nov-50,1,Early Stage Venture,"Jan 12, 2017","₹ 8,00,00,000.00",Series A,"₹ 8,00,00,000.00",Michael & Susan Dell Foundation,Ankur Capital,Global Philanthropic,,,3
MedGenome,Biotechnology,Genetics,Bangalore,Karnataka,MedGenome develops a genomics-based diagnostics and research solution for healthcare providers to understand the genetic basis of diseases.,560 099,$10M to $50M,2013,diagnostics.medgenome.com,2,Mahesh Pratapneni,Sam Santhosh,501-1000,8,—,"Aug 30, 2022","$ 5,00,00,000.00",Venture - Series Unknown,"$ 18,55,01,306.00",LeapFrog Investments,Sequoia Capital,HDFC Standard Life Insurance,International Finance Corporation,Novo Holdings,14
Zipgrid,Consumer,Information Technology,Mumbai,Maharashtra,ZIPGRID provides technology-driven services to housing.,400069,$1M to $10M,2013,zipgrid.com/,2,Jaydip Popat,Kunal Gupta,101-250,3,Seed,"Feb 24, 2020","$ 10,00,000.00",Seed,"$ 17,00,000.00",Jones Lang LaSalle,1Crowd,Malpani Ventures,,,3
Oakter,Electronics,,Noida,Uttar Pradesh,"Oakter is an internet enabled, plug and play home automation solution.",201301,$10M to $50M,2014,oakter.com/,2,Shishir Gupta,Varun Gupta,Nov-50,2,Seed,"Jun 1, 2016","₹ 1,00,00,000.00",Seed,"₹ 1,25,00,000.00",India Quotient,,,,,1
Chaayos,Food and Beverage,Food Delivery,New Delhi,Delhi,Chaayos is a Chai tea cafe chain that leverages technology to serve a personalized cup of chai.,110030,$1M to $10M,"Nov 5, 2012",www.chaayos.com/,2,Nitin Saluja,Raghav Verma,251-500,8,Late Stage Venture,"Jun 13, 2022","₹ 3,49,40,00,000.00",Series C,"$ 8,55,35,743.00",Elevation Capital,Tiger Global Management,Alpha Wave Ventures,InnoVen Capital,SAIF Partners,12
RoofandFloor,Property Management,Real Estate,Bengaluru,Karnataka,RoofandFloor is a real estate company that offers home-buying services.,560001,$1M to $10M,2014,roofandfloor.thehindu.com,1,Gowri Shankar Nagarajan,,51-100,2,—,"Jul 20, 2016","₹ 20,00,00,000.00",Venture - Series Unknown,"₹ 45,00,00,000.00",The Hindu,,,,,1
MyLoanCare,Credit,Financial Services,Gurgaon,Haryana,Leading Online Loans Marketplace in India,122018,$100M to $500M,"Oct 3, 2013",www.myloancare.in,2,Deepak Gupta,Gaurav Gupta,101-250,3,Early Stage Venture,"Apr 27, 2018","₹ 6,50,00,000.00",Series A,"₹ 8,00,00,000.00",Ncubate Capital Partners,,,,,1
