company,industry1,industry2,city,state,description,pin,revenue,founded date,website,number of founder,founder1,founder2,employee,funding round,funding status,last funding date,last funding amt,last funding type,total funding amt,investor1,investor2,investor3,investor4,investor5,no of investor
Haptik,Artificial Intelligence (AI),Customer Service,Mumbai,Maharashtra,"Haptik helps brands acquire, convert, engage, and delight users with AI-driven.",400063,Less than $1M,"Aug 23, 2013",www.haptik.ai,2,Aakrit Vaish,Swapan Rajdev,251-500,2,M&A,"Apr 5, 2016","$ 1,12,00,000.00",Series B,"$ 1,22,00,000.00",Kalaari Capital,Times Internet,Vivek Kumar,,,3
DailyObjects,Consumer Electronics,E-Commerce,Gurgaon,Haryana,Design-driven Global Lifestyle D2C brand from India. Designed in India | Made in India,122004,$10M to $50M,Jun-12,www.dailyobjects.com,2,Pankaj Garg,Saurav Adlakha,101-250,3,—,"Feb 11, 2022","₹ 15,00,00,000.00",Venture - Series Unknown,"$ 33,12,996.00",Roots Ventures,Peyush Bansal,SeedFund.in,Unilazer Ventures,Phanindra Sama,5
Urban Ladder,E-Commerce,E-Commerce Platforms,Home Decor,Internet,Urban Ladder is a Bangalore-based online furniture company.,560037,$10M to $50M,"Jul 12, 2012",www.urbanladder.com,2,India,Asia-Pacific (APAC),501-1000,9,M&A,"Nov 6, 2019","₹ 15,00,00,000.00",Venture - Series Unknown,"$ 11,48,96,667.00",Ashish Goel,Rajiv Srivatsa,Kalaari Capital,Peak XV Partners,Steadview Capital,10
Plum,Beauty,Cosmetics,Mumbai,Maharashtra,Plum is a science-driven beauty and grooming company that offers vegan and cruelty-free products.,—,$1M to $10M,2013,plumgoodness.com/,1,Shankar Prasad,,101-250,4,Seed,"Jun 23, 2022",—,Angel,"₹ 3,80,00,00,000.00",A91 Partners,Trifecta Capital Advisors,Unilever Ventures,Faering Capital,Rashmika Mandanna,5
Soothe Healthcare,Consumer Goods,Health Care,Noida,Uttar Pradesh,Soothe Healthcare is a manufacturer of personal hygiene products for men and women.,201306,$10M to $50M,2012,soothehealthcare.com/,1,Sahil Dharia,,51-100,6,—,"Aug 10, 2023","$ 21,25,000.00",Venture - Series Unknown,"$ 4,08,44,319.00",U.S. International Development Finance Corp,A91 Partners,Sixth Sense Ventures,Gulf Islamic Investments LLC (GII),Symphony Ventures,6
Physics Wallah,E-Learning,EdTech,Noida,Uttar Pradesh,"Physics Wallah offers live classes, video lectures, test series, and dynamic exercises for JEE, NEET entrance, and board exams.",201309,$50M to $100M,2014,www.pw.live,2,Alakh Pandey,Prateek Maheshwari,1001-5000,1,Early Stage Venture,"Jun 7, 2022","$ 10,00,00,000.00",Series A,"$ 10,00,00,000.00",GSV Ventures,Westbridge Capital,,,,2
Medway Hospitals,Health Care,Hospital,Chennai,Tamil Nadu,Medway Hospitals is a healthcare center that offers treatment for orthopetics and nephrology services.,600024,—,2012,medwayhospitals.com,—,,,251-500,1,—,"Jan 4, 2024","₹ 41,60,00,000.00",Venture - Series Unknown,"₹ 41,60,00,000.00",Kyra Ventures,,,,,1
FabAlley,Apparel,E-Commerce,Noida,Uttar Pradesh,FabAlley is an online fashion store that provides and sells women’s western apparels and lounge wear.,201301,$10M to $50M,2012,www.faballey.com,2,Shivani Poddar,Tanvi Malik,101-250,10,—,"May 20, 2022","₹ 40,00,00,000.00",Venture - Series Unknown,"$ 2,37,98,433.00",Elevation Capital,Stride Ventures,Indian Angel Network,Trifecta Capital Advisors,India Quotient,19
iBus Networks & Infrastructure,Internet,Mobile,Bangalore,Karnataka,"IBus Network was founded in 2013, born of a vision to connect people, places and things by providing next generation in-building solutions",560038,$1M to $10M,2013,www.ibusnetworks.com/,—,,,Nov-50,3,—,"Sep 6, 2022","₹ 1,25,00,00,000.00",Venture - Series Unknown,"$ 3,79,17,804.00",Morgan Stanley,Nomura,Vallabh Bhanshali,N Squared Management,,4
Freyr Energy,Energy,Environmental Consulting,Hyderabad,Andhra Pradesh,"Freyr Energy is a company that provides full service solar provider based in Hyderabad, India.",500081,$1M to $10M,2014,freyrenergy.com/,2,Radhika Choudary,Saurabh Marda,Nov-50,5,Early Stage Venture,"Oct 16, 2023","₹ 58,00,00,000.00",Series B,"$ 1,16,13,490.00",Schneider Electric Energy Access Asia,TotalEnergies Ventures,European Development Finance Institutions,C4D Partners,Lotus Capital,8
Smart Joules,Energy,Energy Management,New Delhi,Delhi,Smart Joules is an energy management company that offers energy-efficiency-as-a-service solutions for commercial and industrial buildings.,—,$1M to $10M,"Jan 1, 2014",www.smartjoules.co.in/,3,Arjun P Gupta,Sidhartha P Gupta,51-100,1,Early Stage Venture,"Mar 17, 2021","₹ 29,70,00,000.00",Series A,"₹ 29,70,00,000.00",ADB Ventures,Raintree Family Office,Sangam Ventures,Max India,Saket Burman,6
ParallelDots,Computer Vision,Fast-Moving Consumer Goods,Gurgaon,Haryana,ParallelDots is an image recognition platform that empowers FMCG companies to maximize their sales through in-store execution.,19958,$10M to $50M,Jan-14,www.paralleldots.com/,3,Angam Parashar,Ankit Narayan Singh,101-250,2,Early Stage Venture,"Mar 25, 2022","₹ 34,20,00,000.00",Series A,"$ 64,83,561.00",Btomorrow Ventures,Multipoint Capital,,,,2
Lumiq,Analytics,Artificial Intelligence (AI),Chennai,Tamil Nadu,Lumiq provides data analytics and business consulting solutions for enterprises.,600096,$50M to $100M,2013,www.lumiq.ai,1,Shoaib Mohammad,,101-250,2,Early Stage Venture,"Oct 19, 2022","₹ 44,10,00,000.00",Series A,"$ 73,13,432.00",Redstart Labs,Info Edge ventures,Season Two Ventures,Parampreet Bhasin,,4
JetSynthesys,Software,,Mumbai,Maharashtra,JetSynthesys is a digital entertainment and technology company.,411001,Less than $1M,2014,jetsynthesys.com,1,Rajan Navani,,101-250,2,—,"Jul 29, 2021",—,Venture - Series Unknown,"₹ 3,00,00,00,000.00",Kris Gopalakrishnan,Sachin Tendulkar,Adar C. Poonawalla,,,3
