company,industry1,industry2,city,state,description,pin,revenue,founded date,website,number of founder,founder1,employee,funding round,funding status,last funding date,last funding amt,last funding type,total funding amt,investor1,no of investor,founder2,investor2,investor3,investor4,investor5
Beco,Consumer Goods,Organic,Andheri,Maharashtra,Beco support and drive a positive change in the world with sustainable & eco-friendly alternatives to single-use plastics and packaging.,—,$1M to $10M,2018,letsbeco.com/,3,Aditya Ruia,Nov-50,2,Early Stage Venture,"Sep 12, 2022","$ 30,00,000.00",Series A,"$ 35,37,342.00",Titan Capital,19,Akshay Varma,Better Capital,Arjun Purkayastha,Prashant Pitti,Rukam Capital
INDRA,Industrial,Manufacturing,Bhiwandi,Maharashtra,INDRA produces water treatment systems for recycling domestic and industrial wastewater.,421302,$1M to $10M,2018,www.indrawater.com,2,Amrit Om Nayak,Nov-50,1,Early Stage Venture,"Jan 18, 2024","$ 40,00,000.00",Series A,"$ 40,00,000.00",Emerald Technology Ventures,4,Krunal Patel,Mela Ventures,Climate Angels,Peak Venture Partners,
Presolv360,Consulting,Information Technology,Mumbai,Maharashtra,"Presolv360 provides a fast-track, cost-effective and the most efficient alternative to traditional dispute resolution systems like courts.",400004,—,"Jun 29, 2017",www.presolv360.com/,3,Aman Sanghavi,01-Oct,1,Seed,"Feb 23, 2022","₹ 8,13,00,000.00",Seed,"₹ 8,13,00,000.00",Omidyar Network India,6,Bhaven Shah,Inspira Enterprise,MGA Ventures,Jeena & Company,M. Pallonji & Co
Roopya,Analytics,Big Data,Gurgaon,Haryana,"Roopya is a Fintech ecosystem comprised of a SaaS-based Lending Infrastructure platform that enables NBFCs, Banks, and Fintechs.",—,$1M to $10M,2018,roopya.money,—,,Nov-50,1,Seed,"Jun 24, 2023","₹ 5,09,00,000.00",Seed,"₹ 5,09,00,000.00",Snyk,6,,100X.VC,KRS Jamwal,Sat Industries,Vishal Khare
Meritto (Formerly NoPaperForms),CRM,EdTech,Gurgaon,Haryana,Meriito (Formerly NoPaperForms) is the de-facto choice for all educational organizations looking to grow their enrollments.,122016,$1M to $10M,"Feb 8, 2017",www.meritto.com,3,Ankita Goyal,251-500,2,Early Stage Venture,"Dec 11, 2018","$ 39,80,000.00",Series A,"$ 47,46,382.00",Info Edge,1,Naveen Goyal,,,,
Incore Semiconductors,Electronics,Semiconductor,Chennai,Tamil Nadu,InCore is a leading RISC-V processor design company with a strong focus on customization.,600002,$1M to $10M,2018,incoresemi.com,4,Arjun Menon,01-Oct,1,Seed,"May 12, 2023","₹ 24,60,00,000.00",Seed,"₹ 24,60,00,000.00",Peak XV Partners,1,G S Madhusudan,,,,
Tax Buddy,Accounting,Finance,Mumbai,Maharashtra,"Tax Buddy is an online tax adviser offering for first-time, subscription-based plans of tax advisory.",4000072,Less than $1M,2018,www.taxbuddy.com/,3,Srinivas Reddy,Nov-50,2,—,"May 26, 2022","₹ 16,00,00,000.00",Venture - Series Unknown,"₹ 23,40,00,000.00",Zenith Global,1,Sujit Bangar,,,,
ZOFF,Food and Beverage,Manufacturing,Raipur,Chhattisgarh,ZOFF is a spices manufacturing and marketing company.,—,$1M to $10M,2018,zofffoods.com,2,Akash Agrawal,101-250,1,Seed,"Feb 9, 2023","₹ 1,00,00,000.00",Angel,"₹ 1,00,00,000.00",Aman Gupta,1,Ashish Agrawal,,,,
Legalkart,Legal,Legal Tech,Gurgaon,Haryana,"LegalKart is a simple, convenient location to share files, communicate, and collaborate with your clients.",122018,$1M to $10M,2018,www.legalkart.com/,1,Arvind Singhatiya,01-Oct,2,Seed,"Jan 20, 2022","₹ 4,00,00,000.00",Seed,"₹ 7,50,00,000.00",Mumbai Angels,6,,Mitesh Shah,IIM Udaipur Incubation Centre,Sudarshan Gangrade,Pranay Jivrajka
Beyond Snáck,Food and Beverage,Food Processing,Alappuzha,Kerala,Beyond Snáck is a snack brand that provides authentic banana chips in a variety of flavors.,—,—,2018,beyondsnack.in,1,Manas Madhu,01-Oct,2,Seed,"Jul 27, 2023","$ 35,00,000.00",Seed,"$ 39,10,000.00",HEM ANGELS,2,,Nabventures,,,
Crio.Do,EdTech,Internet,Bangalore,Karnataka,Crio.Do Creating real environment optimized for best-in-class applied learning.,560076,$1M to $10M,2018,www.crio.do/,2,Rathinamurthy R,01-Oct,1,M&A,"Jan 29, 2019","$ 10,00,000.00",Seed,"$ 10,00,000.00",Binny Bansal,3,Sridher Jeyachandran,Mekin Maheshwari,Ravi Garikipati,,
CoinSwitch,Cryptocurrency,Financial Services,Bangalore,Karnataka,Making Money Equal for All,560037,$1M to $10M,"Jun 14, 2017",www.coinswitch.co,3,Ashish Singhal,101-250,4,Late Stage Venture,"Oct 6, 2021","$ 26,00,00,000.00",Series C,"$ 30,06,03,815.00",Andreessen Horowitz,7,Govind Soni,Tiger Global Management,Peak XV Partners,Coinbase Ventures,Paradigm
Rapipay,Finance,Financial Services,Noida,Uttar Pradesh,Rapipay operates as the banking and financial services to crores of customers.,201301,$1M to $10M,2018,www.rapipay.com/,2,Sumit Kumar Narvar,501-1000,1,—,"Feb 15, 2022","$ 1,50,00,000.00",Venture - Series Unknown,"$ 1,50,00,000.00",DLF Family Office,4,Yogendra Kashyap,Rahul Gautam,Rohan Kumar,Varun Jaipuria,
WizKlub,EdTech,Education,Bangalore,Karnataka,Wizklub designed a unique method of developing and nurturing Higher Order Thinking Skills in children.,560034,$1M to $10M,"Feb 1, 2018",wizklub.com/,2,Amit Bansal,101-250,2,M&A,"Feb 16, 2021","₹ 6,00,00,000.00",Seed,"₹ 13,00,00,000.00",Incubate Fund India,2,Swarup Vijh,Insitor Partners,,,
TranZact,B2B,Enterprise Software,Mumbai,Maharashtra,"At TranZact, we are on a mission to digitize Indian SMEs so they can grow better",—,$100M to $500M,"Jun 1, 2017",letstranzact.com/,3,Ritesh Kumar,Nov-50,2,Early Stage Venture,"Dec 16, 2021","$ 70,00,000.00",Series A,"$ 80,00,000.00",Tribe Capital,12,Rohan Sen Sharma - Technology,Prime Venture Partners,Asish Mohapatra,Kae Capital,Gemba Capital
Eupheus Learning,E-Learning,EdTech,Delhi,Delhi,"Eupheus Learning: India's Largest School Focused Distribution Platform Offering Curricular, Supplemental and Technology Solutions to K-12.",110044,Less than $1M,"Jun 1, 2017",www.eupheus.in,3,Amit Kapoor,251-500,4,Late Stage Venture,"Sep 14, 2021","$ 1,00,00,000.00",Series C,"$ 1,84,00,000.00",Lightrock,5,Sarveshwar Shrivastava,Sixth Sense Ventures,Yuj Ventures,Al Rayan Holding Company,United Education Company
savart,Advice,Crowdfunding,Hyderabad,Andhra Pradesh,Savart is a wealth management platform that assists in investing stocks and mutual funds.,500029,$1M to $10M,"May 16, 2017",savart.com,1,sankarsh C,51-100,3,Seed,"Sep 22, 2022","$ 15,00,000.00",Seed,"$ 21,44,933.00",9Unicorns Accelerator Fund,6,,Venture Catalysts,BEENEXT,Soonicorn Ventures,Jitendra Gupta
Practically,Apps,Artificial Intelligence (AI),Hyderabad,Andhra Pradesh,Practically is India’s first experiential learning app designed to make learning immersive for students of classes 6-12,—,$50M to $100M,Mar-18,www.practically.com,3,Charu Noheria,251-500,4,—,"Dec 15, 2021","₹ 38,00,00,000.00",Venture - Series Unknown,"$ 1,54,86,115.00",YourNest Venture Capital,8,Ilangovel Thulasimani,Exfinity Venture Partners,NB Ventures,Ncubate Capital Partners,Earlsfield Capital
LivNSense Technologies,Artificial Intelligence (AI),Information Technology,Bengaluru,Karnataka,LivNSense Technologies provides industrial IoT & AI Platform.,560102,—,2018,livnsense.com/,—,,Nov-50,2,Seed,"Dec 27, 2023","$ 27,50,000.00",Seed,"$ 27,50,000.00",Pavestone Capital,2,,Accenture Sustainability Value Accelerator,,,
Shiprocket,Artificial Intelligence (AI),E-Commerce,New Delhi,Delhi,Shiprocket is an e-commerce shipping platform that enables cost-effective shipping for direct-to-consumer retailers.,110030,$50M to $100M,"Jan 26, 2017",www.shiprocket.in,4,Akshay Ghulati,501-1000,12,Late Stage Venture,"Oct 9, 2023","₹ 90,70,00,000.00",Series E,"$ 39,90,92,833.00",Zomato,35,Gautam Kapoor,Gaingels,9Unicorns Accelerator Fund,500 Global,Razorpay
Nestasia,Handmade,Home Decor,Kolkata,West Bengal,Nestasia is a selection of artisanal handcrafted goods sourced from around the world and made from environmentally friendly materials.,700029,$1M to $10M,2018,nestasia.in/,2,Aditi Murarka,Nov-50,1,Early Stage Venture,"Dec 15, 2021","$ 40,00,000.00",Series A,"$ 40,00,000.00",Stellaris Venture Partners,6,Anurag Agrawal,Ramakant Sharma,Anuj Srivastava,Varun Alagh,Dilipkumar Khandelwal
pumpumpum,Automotive,Leasing,Gurgaon,Haryana,PumPumPum is a pre-owned car subscription service offering an affordable and convenient solution to car ownership.,—,$1M to $10M,2018,www.pumpumpum.com,2,Sameer Kalra,Nov-50,5,Seed,"Jun 2, 2022","₹ 15,40,00,000.00",Seed,"₹ 25,10,00,000.00",Inflection Point Ventures,15,Tarun lawadia,ICICI Bank,Canara Bank,LetsVenture,Kogta Financial
MangoPoint,Food and Beverage,Fruit,Chennai,Tamil Nadu,"MangoPoint provides a sustainable, integrated value chain for mangoes.",600117,—,2018,www.mangopoint.in/,—,,Nov-50,2,Seed,"Dec 19, 2023","₹ 3,50,00,000.00",Angel,"₹ 5,32,00,000.00",The Chennai Angels,4,,Keiretsu Forum,Native Angels Network,Keiretsu Chennai,
New Street Technologies,Financial Services,Information Technology,Bengaluru,Karnataka,New Street Technologies builds and operates blockchain-enabled platforms for institutional clients in the financial services segment.,560038,$1M to $10M,Aug-17,newstreettech.com/,2,Mohit Davar,51-100,4,Early Stage Venture,"Sep 22, 2021","$ 40,00,000.00",Series B,"$ 80,01,932.00",Cyclops Medtech,5,Sajeev Viswanathan,Capria Ventures,Unitus Ventures,Vittal Kadapakkam,Mohit Davar
Classplus,B2B,E-Learning,Noida,Uttar Pradesh,Classplus offers a mobile-first SaaS platform for 3000+ tutors to offer their curriculum and operations completely online.,201301,$1M to $10M,"Jan 28, 2018",classplusapp.com/,5,Bhaswat Agarwal,101-250,10,Late Stage Venture,"Mar 29, 2022","$ 7,00,00,000.00",Series D,"$ 12,95,11,201.00",Lightspeed Venture Partners,21,Bikash Dash,Blume Ventures,Tiger Global Management,Omidyar Network,Alpha Wave Global
Nimesa Technology,Cloud Computing,Data Management,Bangalore,Karnataka,Nimesa Technology is a Data Protection & Copy Data Management company.,560102,$1M to $10M,2018,nimesa.io/,2,Rajesh Vaidhyanathan,Nov-50,1,Seed,"Mar 19, 2020","₹ 6,00,00,000.00",Pre-Seed,"₹ 6,00,00,000.00",Ideaspring Capital,1,Tapesh Goyal,,,,
ZOKO,E-Commerce,Information Technology,Bengaluru,Karnataka,"ZOKO connects businesses to Whatsapp and Facebook Messenger for sending notifications, marketing, and conversational commerce.",—,$1M to $10M,"Jan 1, 2018",www.zoko.io/,1,Arjun V.,01-Oct,5,Seed,"Jul 1, 2022",—,Seed,"₹ 10,20,00,000.00",Y Combinator,8,,Pioneer Fund,Unpopular Ventures,Weekend Fund,021 Capital
Deciwood,Manufacturing,,Delhi,Delhi,Deciwood is an Indian brand that makes Bluetooth speakers.,—,—,2018,deciwood.com,1,Ananya Meena,Nov-50,1,Seed,"Dec 21, 2021","₹ 1,50,00,000.00",Seed,"₹ 1,50,00,000.00",LetsVenture,6,,India Accelerator,Sprint Vc,ShuruUp Ventures,Ankit Kedia
StepSetGo,Apps,Fitness,Mumbai,Maharashtra,StepSetGo is an app for fitness.,—,$1M to $10M,"Jan 1, 2018",stepsetgo.com/,2,Abhay Pai,Nov-50,1,Seed,"Dec 9, 2021","₹ 5,00,00,000.00",Seed,"₹ 5,00,00,000.00",Huddle,4,Misaal Turakhia,BeyondSeed,Dexter Angels,Seeders,
Dice,Finance,SaaS,Pune,Maharashtra,"\Dice is redefining SaaS to \""\""Spending as a Service\""\"" & pushing India's most Holistic Spend Management Ecosystem for corporates & enterprises.\""",411020,$1M to $10M,"Jan 12, 2018",dice.tech,2,Lakshay Jain,Nov-50,1,Seed,"Apr 28, 2020","₹ 30,00,000.00",Seed,"₹ 30,00,000.00",IIT Mandi Catalyst,1,Prashant Kushwah,,,,
Power Gummies,Nutrition,,New Delhi,Delhi,Power Gummies is a D2C nutraceutical company that offers vitamin-packed gummy products.,110048,$1M to $10M,Mar-18,www.powergummies.com/,1,Divij Bajaj,01-Oct,8,Early Stage Venture,"Jan 3, 2022","$ 60,00,000.00",Series A,"$ 1,29,25,821.00",9Unicorns Accelerator Fund,10,,Venture Catalysts,DSG Consumer Partners,Agility Ventures,Sharrp Ventures
My Mobiforce,Internet,Software,Noida,Uttar Pradesh,MyMobiforce is a Freelance Management System.,201301,—,2018,mymobiforce.com/,4,Abhishek Srivastava,51-100,2,Seed,"Jul 5, 2021","₹ 10,30,00,000.00",Seed,"$ 15,85,935.00",Bharat Inclusion Seed Fund,6,Dheeraj Khatter,Ashutosh Agrawal,Sanjiv Mital,Acsys Investments,Manu Iyer
Anveya,Beauty,Cosmetics,Bengaluru,Karnataka,"Anveya is an online store that offers beauty, essential oils, hair, and skincare products for men and women.",560080,$1M to $10M,2018,www.anveya.com/,1,Vivek Singh,Nov-50,1,Seed,"Feb 8, 2022","₹ 8,00,00,000.00",Seed,"₹ 8,00,00,000.00",Rukam Capital,1,,,,,
Daalchini Technologies,Food and Beverage,,New Delhi,Delhi,"Daalchini provides affordable, quality home-food instantly via smart vending machines.",110029,$1M to $10M,Aug-17,www.daalchini.co.in/,1,Prerna Kalra,01-Oct,4,Early Stage Venture,"Sep 7, 2022","$ 40,00,000.00",Series A,"$ 56,68,941.00",Unicorn India Ventures,19,,Artha Group,Amit Lakhotia,Ashutosh Valani,Ajay Kaul
RevFin,Finance,Financial Services,Delhi,India,RevFin is a lending platform that finances electric vehicles.,110016,$1M to $10M,2018,www.revfin.in,1,,,101-250,9,—,"Feb 5, 2024",—,Venture - Series Unknown,AXIAN Investment,",,,,",InCred,,,,
Ekart Logistics,E-Commerce,Logistics,Bangalore,Karnataka,EKART is India's largest logistics and supply chain company,—,$50M to $100M,"Jan 11, 2018",www.ekartlogistics.com/,2,Binny Bansal,501-1000,1,—,"Oct 2, 2017","₹ 6,41,00,00,000.00",Venture - Series Unknown,"₹ 6,41,00,00,000.00",Klick2Shop Logistics Services International,1,Sachin Bansal,,,,
Neuron Energy,Battery,Electric Vehicle,Mumbai,Maharashtra,Neuron Energy operates as an EV solutions company.,400077,—,2018,www.neuronenergy.in/,—,,Nov-50,1,Seed,"Jul 12, 2023","₹ 2,00,00,00,000.00",Seed,"₹ 2,00,00,00,000.00",Equanimity Investments,4,,Chona Family Office,Rajiv Dadlani Group,Kayenne Ventures,
Haber,Industrial Automation,Internet of Things,Pune,Maharashtra,"Haber is an integrated platform for process, utilities and water systems driving visibility.",—,$1M to $10M,"Feb 28, 2017",www.haberwater.com,3,Prashun Purkayastha,101-250,3,Early Stage Venture,"Nov 23, 2021","₹ 1,48,00,00,000.00",Series B,"₹ 1,97,79,00,000.00",Accel,9,Priya Venkat,Elevation Capital,BEENEXT,SAIF Partners,Accel India
Zymrat,Fashion,Fitness,Bangalore,Karnataka,Zymrat is a performance Wear Brand,—,$1M to $10M,"Feb 15, 2018",zymrat.com,2,Ankita Riva,Nov-50,2,M&A,"Jan 20, 2022","₹ 3,00,00,000.00",Seed,"₹ 4,00,00,000.00",LetsVenture,9,Ujjawal Asthana,Ankit Somani,Rashmi Daga,Dominor Investment,Aditya Somani
AGROWAVE,Agriculture,AgTech,Gurgaon,Haryana,Agrowave is an AgriTech startup that builds a farm-to-business mobility supply chain focusing on first-mile logistics and trade supply.,122011,$1M to $10M,"Jun 20, 2017",agrowave.in/,1,Anu Meena,Nov-50,4,Seed,"Jan 21, 2022","$ 20,00,000.00",Seed,"$ 25,67,000.00",MassChallenge,2,,Aroa Ventures,,,
Mynvax,Biotechnology,Health Care,Bangalore,Karnataka,Mynvax is an Indian-based biotech startup that develops next-generation vaccines for influenza.,560041,—,"May 5, 2017",mynvax.com/,2,Gautam Nadig,01-Oct,2,Early Stage Venture,"Jul 19, 2021","₹ 31,00,00,000.00",Series A,"₹ 31,00,00,000.00",Accel,6,Raghavan Varadarajan,1Crowd,LetsVenture,Kotak Investment Advisors,Nimesh Kampani
TEAL,Analytics,Finance,Bangalore,Karnataka,Teal is a proptech company.,560075,$1M to $10M,2018,tealindia.in,—,,Nov-50,2,Seed,"Apr 28, 2022","₹ 14,80,00,000.00",Seed,"₹ 19,80,00,000.00",Info Edge,2,,Omidyar Network India,,,
Wobot Intelligence,Artificial Intelligence (AI),Computer Vision,New Delhi,Delhi,AI-powered Process Compliance through your cameras,110017,$10M to $50M,"Dec 29, 2017",www.wobot.ai/,3,Adit Chhabra,101-250,3,Seed,"Aug 4, 2020","$ 25,00,000.00",Seed,"$ 25,00,000.00",Titan Capital,2,Tanay Dixit,Peak XV Partners,,,
UrbanKisaan,Agriculture,Farming,Hyderabad,Andhra Pradesh,UrbanKisaan is reimagining food through farming by building vertical farms globally.,—,$1M to $10M,"Oct 1, 2017",www.urbankisaan.com/,3,Sairam Reddy,51-100,4,Seed,"Jul 13, 2021","$ 55,00,000.00",Seed,"$ 70,00,000.00",Titan Capital,11,Srinivas Chaganti,Y Combinator,Pioneer Fund,VentureSouq,Nadav Ben-Chanoch
ANS Commerce,E-Commerce,Marketing,Gurgaon,Haryana,ANS Commerce is a full stack e-commerce solutions to help brands sell online.,—,$10M to $50M,"Apr 1, 2017",www.anscommerce.com/,4,Amit Monga,51-100,3,M&A,"Oct 4, 2021","$ 22,00,000.00",Seed,"$ 22,25,000.00",9Unicorns Accelerator Fund,12,Nakul Singh,Titan Capital,Venture Catalysts,Kunal Bahl,Rohit Bansal
GoKhana,Apps,Food and Beverage,Bangalore,Karnataka,Digitize corporate cafeterias to deliver efficiencies. Corporate employees acquired at scale and low CAC are monetized with other services.,560027,$1M to $10M,"Jan 17, 2017",www.gokhana.com,2,Ankur Marda,251-500,2,Seed,"Dec 23, 2021","$ 11,00,000.00",Seed,"$ 11,00,000.00",Turbostart,9,Ashish Marballi,Mekin Maheshwari,GRM Foodkraft,Sachin Agarwal,Pankaj Prasoon
LearnApp,Banking,E-Learning,Noida,Uttar Pradesh,"Learnapp.co - Video courses & live classes in investing, trading, banking and finance.",—,Less than $1M,2018,learnapp.co/home,4,Ankush Oberoi,101-250,2,Seed,"Aug 31, 2022",—,Angel,"₹ 2,00,00,000.00",Rainmatter Capital,2,Prateek Singh,Shiv Mehta,,,
Heliware,Analytics,Artificial Intelligence (AI),Haryana,Haryana,"Heliware is a Geo-spatial start-up in India which provides analytics, modeling, simulation and visualization of spatial data.",122022,$10M to $50M,Feb-18,www.heliware.co.in,—,,51-100,4,Seed,"May 4, 2023","₹ 7,00,00,000.00",Seed,"₹ 7,00,00,000.00",JITO Angel Network,4,,Chandigarh Angels Network,TiE India Angels,Amit Engineers,
Homversity,Information Technology,,Ahmedabad,Gujarat,"Homversity is a search, discovery and booking platform for all types of student accommodation.",—,$1M to $10M,"Jun 22, 2017",www.homversity.com,1,Saurav Kumar Sinha,Nov-50,2,Seed,"Nov 23, 2021","$ 1,55,000.00",Seed,"$ 15,05,000.00",La Gajjar Group,6,,Growth Sense,ShuruUp Ventures,Valcreate Investment Managers,BeyPar Innovations
Premagic,Photo Sharing,Software,Bangalore,Karnataka,Premagic is a workflow management tool for professional photographers to share photos with clients.,—,—,2018,www.premagic.com/,3,Anenth Vishnu,01-Oct,1,Seed,"Nov 30, 2021","₹ 2,00,00,000.00",Pre-Seed,"₹ 2,00,00,000.00",Sharique Samsudheen,5,Anup Mohan,Mohammed Hisamuddin,Sujayath Ali,Sony Joy,300 ventures
ION Energy,Artificial Intelligence (AI),Energy,Mumbai,Maharashtra,ION Energy is accelerating Earth's transition to an all-electric planet.,—,$1M to $10M,"Feb 5, 2017",www.ionenergy.co,2,Akhil Aryan,Nov-50,4,Seed,"Jul 1, 2021","$ 36,00,000.00",Seed,"$ 46,41,000.00",Venture Catalysts,11,Alexandre Collet,Climate Capital,YourNest Venture Capital,Dholakia Ventures,Climate Pledge Fund
