company,industry1,industry2,city,state,description,pin,revenue,founded date,website,number of founder,founder1,employee,funding round,funding status,last funding date,last funding amt,last funding type,total funding amt,investor1,no of investor,founder2,investor2,investor3,investor4,investor5
CamfyVision Innovations,Artificial Intelligence (AI),Information Technology,Bengaluru,Karnataka,CamfyVision develops intelligent computer vision algorithms using the combination of AI and deep learning.,560008,—,2017,www.camfyvision.com/,2,Rajiv Kumar Jaiswal,Nov-50,1,—,"Jan 1, 2019",—,Venture - Series Unknown,—,Derbi Foundation,1,Vedpal Singh,,,,
Cueclad,Digital Media,Media and Entertainment,Pune,Maharashtra,Digital Platform for Independent Entertainment,—,—,"May 3, 2017",cueclad.com,3,Kaumud Pachauri,01-Oct,1,Seed,"May 10, 2017",—,Seed,—,,—,Sharukh Shaikh,,,,
Sympill,Consumer,Health Care,Kormangala,Karnataka,Sympill is a mobile app connects you in real-time to a pharmacy nearby to you and gives you an accurate stock Avialblity.,—,—,2018,sympill.app/,1,Raghavendra Srinivasan,01-Oct,1,—,"Jan 1, 2019",—,Venture - Series Unknown,—,Derbi Foundation,1,,,,,
Pooltoo,Environmental Consulting,Ride Sharing,New Delhi,Delhi,Pooltoo offers a premium ride sharing platform.,110019,$1M to $10M,Nov-17,www.pooltoo.com/,4,Aradhana Jha,Nov-50,1,Seed,"Apr 4, 2018",—,Seed,—,Devika Ganesh,1,Nancy Martin,,,,
Born,Children,E-Commerce,Bandra,Maharashtra,Born is a distributor of baby and kids' labels.,—,—,"Jan 1, 2017",www.worldofborn.com/,1,Elodie Awchat,01-Oct,1,Seed,"Nov 29, 2018",—,Seed,—,DSG Consumer Partners,1,,,,,
Credible India,Agriculture,Farming,Mumbai,Maharashtra,Credible is a distributor of analytics products for agri-business.,400069,—,2017,www.credible-india.com/,1,Vikram Sarbajna,01-Oct,1,Seed,"Jan 23, 2019",—,Seed,—,Gastrotope,1,,,,,
Perspectico,Career Planning,Education,New Delhi,Delhi,An Education Management startup.,—,$1M to $10M,2017,www.perspectico.com/,2,Anmol Mahajan,01-Oct,2,Seed,"Nov 29, 2018",—,Seed,—,The University of Delhi,2,Nikhil Chainani,SSCBS Innovation and Incubation Foundation (SIIF),,,
Bitgram,Information Technology,Privacy,Bangalore,Karnataka,Bitgram is a data sovereignty and consumer data protection platform.,—,—,2017,www.bitgram.in/index.html,2,Pria Randolph,01-Oct,1,Seed,"Jun 5, 2017",—,Seed,—,Startupbootcamp,1,Rohit Chaturvedi,,,,
Sushrut Designs,Health Care,Medical,Pune,Maharashtra,Sushrut Designs is an innovative healthcare and wellness devices company.,—,—,2018,www.sushrutdesigns.com,1,Atul Kherde,Nov-50,1,Seed,"May 21, 2020",—,Angel,—,Anand Deshpande,4,,Tridib Chowdhury,Ajay Bhagwat,Atul Manohar,
99RetailStreet,Cloud Data Services,Retail,Bengaluru,Karnataka,99RetailStreet  is a common commerce platform on cloud targeted at the large unorganized retail segment comprising of Kiranas/ Kades.,—,—,2017,www.99rstreet.com,2,Alok Jayant,Nov-50,2,Seed,"Jan 1, 2018",—,Seed,—,WaterBridge Ventures,3,Piyush Jadhao,BOV Capital,BlueOcean Ventures,,
Livigro,Health Care,Health Diagnostics,Tamil Nadu,India,Healthcare Aggregation,625016,—,Dec-17,www.livigro.com/,2,Naveen Vijayakumar,",",01-Oct,1,Seed,"Jun 25, 2018",—,Seed,StartUp Health,,Wellness,,,,
ThriveFNC,Health Care,Nutrition,Pune,Maharashtra,ThriveFNC is an alternative approach to creating holistic health through food and nutrition.,—,—,2017,www.thrivefnc.com/,2,AMIT SHARMA,Nov-50,1,Seed,"Jul 17, 2020",—,Seed,—,Rajesh Ranavat,1,Mugdha Pradhan,,,,
KS Technological Solutions,SaaS,Software,Jaipur,Rajasthan,SaaS Based Products | IT Consultancy | Application Development,302022,$1M to $10M,2018,kstechsolutions.com/,—,,01-Oct,2,Seed,"Oct 8, 2018",—,Seed,—,,—,,,,,
Callbell Security,Artificial Intelligence (AI),Big Data,Kozhikode,Kerala,AI Cyber Security Company,673016,—,"Feb 7, 2017",www.callbellsecurity.com,1,Jishnu Das,01-Oct,1,Seed,"Jan 15, 2019",—,Seed,—,,—,,,,,
Extreme Sports India,Security,Transportation,Mumbai,Maharashtra,"Extreme Sports India is a small mix of people, some of who love living extreme .",400060,—,2018,extremesportsindia.com/,1,Avi Jain,01-Oct,1,Seed,"Jan 1, 2019",—,Seed,—,JITO Angel Network,1,,,,,
UpCyclersLab,Apps,Education,Mumbai,Maharashtra,UpCyclersLab is a  startup that makes sustainability-based learning tools for children above the age of five.,—,—,2018,upcyclerslab.com/,2,Amishi Parasrampuria,01-Oct,1,Seed,"Oct 17, 2018",—,Seed,—,Powered Accelerator,1,Manav Shah,,,,
Evoride motors,Automotive,Marketing,Bangalore,Karnataka,Evoride motors is design and develop electric products.,—,—,"Jan 1, 2018",www.evoride.in/,1,Rahul Venkatraman,Nov-50,1,—,"Jan 1, 2019",—,Venture - Series Unknown,—,Derbi Foundation,1,,,,,
Sepal Technologies,Information Technology,iOS,Dwarka,Gujarat,Sepal Technologies offers powerful web application development services,—,—,2017,www.sepaltech.com/,—,,Nov-50,1,Seed,"Jul 2, 2019",—,Seed,—,SucSEED Venture Partners,2,,Saurabh Sharma,,,
Autogrid Mobility,Software,,Pune,Maharashtra,Autogrid Mobility is a smart mobility scenario with frugal software and hardware solutions,—,—,"May 1, 2017",autogrid.in/,1,Himanshu Karia,01-Oct,1,Seed,"Jan 1, 2019",—,Seed,—,Auto Nebula Capital Advisers Private Limited,1,,,,,
Leadburg,Skill Assessment,Virtual Workforce,Bengaluru,Karnataka,"It is a startup in the Self Discovery, Leadership Development and Opportunity matching space",—,—,2017,leadburg.com/,3,Akshay Chandrasekhar,Nov-50,1,Seed,"Jan 17, 2017",—,Seed,—,IvyCamp,3,Sangeeth Varghese,Harsh V. Pant,Ratheesh Raveendran,,
Knitter,Internet,Social Network,Bengaluru,Karnataka,Knitter is a rural social network that connects people within villages to one another to create a local network.,—,—,"Mar 21, 2017",www.knitter.co.in/,2,B R Choudhary,01-Oct,3,Seed,"Aug 1, 2020",—,Seed,—,,—,Dinesh Patel,,,,
Varaha Studio,Retail,,Hyderabad,Andhra Pradesh,Varaha Studio is the Futuristic Solution for Retail – 3D/ AR/ VR Tech,—,—,2018,varahastudio.com/,1,Mohan Ponnada,01-Oct,2,Seed,"Jun 2, 2020",—,Pre-Seed,—,Kiran Darisi,2,,SR Innovation Exchange,,,
Tryolo,Advertising,Augmented Reality,Hyderabad,Andhra Pradesh,Tryolo is an advertising firm.,500081,—,"Sep 20, 2017",www.tryolo.com,2,Indrasena Reddy,Nov-50,1,Seed,"Sep 20, 2018",—,Pre-Seed,—,,—,Yasaswy Tallam,,,,
ABC of Parenting,Health Care,Internet,Mumbai,Maharashtra,"A content platform covers all stages of motherhood journey - getting pregnant, during pregnancy and post-pregnancy.",—,—,Jan-17,abcofparenting.com/,—,,01-Oct,1,Seed,"Jun 29, 2018",—,Seed,—,9Start,1,,,,,
Kid Closet,Artificial Intelligence (AI),E-Commerce,Delhi,Delhi,We make kids wear shopping smart and simple experience for parents.,110049,—,"Aug 16, 2017",kidcloset.in,,,,,,,,,,,,,,,,
—,—,—,https://www.crunchbase.com/search/funding_rounds/field/organization.companies/num_funding_rounds/kid-closet-buds-trends,"Aug 16, 2017",Pre-Seed,,—,,—,,,,,,,,,,,,,,,,
Blueleaf Cyberspace Systems,Internet,Software,Bangalore,Karnataka,Bluleaf Cyberspace  is Cloud Based Software Company.,560025,—,2018,blueleaf360.com/,1,Joseph Rasquinha,Nov-50,1,Seed,"May 29, 2018",—,Seed,—,Ferns Estates & Developers,1,,,,,
