Company,Funding Round,Amount,Date,RupeesAmount
Wingreens Farms,Venture - Series Unknown,"$10,000,000","Jul 23, 2023",750000000
Aris Infra,Venture - Series Unknown,—,"Jan 1, 2022",0
StepChange,Seed,"$4,000,000","May 23, 2023",300000000
Dvara KGFS,Debt Financing,"₹821,000,000","Jul 12, 2023",821000000
Shiprocket,Series E,"$1,400,000","Feb 2, 2021",105000000
BrainSightAI,Convertible Note,"₹9,894,000","Jul 10, 2023",9894000
Swadesh,Venture - Series Unknown,—,"Jan 1, 2023",0
Physics Wallah,Series A,"$100,000,000","Jun 7, 2022",7500000000
Mad Over Buildings (mob),Pre-Seed,"₹17,500,000","May 1, 2023",17500000
Signzy,Series B,"₹2,100,000,000","Sep 26, 2022",2100000000
Difenz,Seed,"₹15,000,000","Nov 30, 2021",15000000
sentra.world,Seed,"₹160,000,000","Jun 5, 2023",160000000
Balu Forge,Post-IPO Equity,"₹1,111,440,000","Jun 21, 2023",1111440000
Kredmint,Angel,"$2,000,000","Dec 14, 2022",150000000
PatilKaki,Seed,"$125,000","Jul 1, 2023",9375000
insideFPV,Seed,"₹35,000,000","Jul 6, 2023",35000000
Jinglebid,Seed,"$250,000","May 9, 2022",18750000
Jayem Automotives,Secondary Market,"₹2,060,000,000","Jul 3, 2023",2060000000
Landeed,Seed,"$8,300,000","Jan 24, 2023",622500000
EduFund,Seed,"$3,500,000","May 4, 2023",262500000
Vidyut,Seed,"₹320,000,000","Dec 8, 2022",320000000
ScholARLab,Pre-Seed,"$250,000","Jan 6, 2022",18750000
Bodhi Health Education,Seed,—,"Apr 23, 2015",0
Officebanao,Funding Round,—,"Jul 6, 2023",0
Redesyn,Convertible Note,"₹35,000,000","Jul 17, 2023",35000000
BizzTM,Seed,—,"May 4, 2022",0
Leverage Edu,Series C,"$25,000,000","Jul 3, 2023",1875000000
Uncap Research Labs,Pre-Seed,"$250,000","Oct 1, 2021",18750000
